Series_Number,Filename,Name,Description,Gender,Attributes,UUID,HASH
11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,male,"hair: bald, eyes: blue, teeth: none, clothing: yellow, accessories: mask, expression: none, strength: none, weakness: none",c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,78433add28bc13b897442baea5cdcf022a486d9a67a21c51996c33c137374f57
12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,male,"hair: bald, eyes: yellow, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: agility, weakness: none",e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,a0b624805ed9e6a591133fb95b26beebddc8e627cb58e0c6abcae086d3d748d0
13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him even still.,male,"hair: bald, eyes: blue, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: none, weakness: none",dfbb4163-df24-4d54-b74c-6218a68df8bd,a57ccfc8e46fd9dd523822eb2aa1611675e16331a85bc6ba9aeebf32d3b27d5d
14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,male,,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,266aaa40348bb4d8cba6e896a06bf4dafa834fa38283a9d5dc4095cbead1d5a7
15,nina-paper-chaser,nina paper chaser,Nina na Igbo girl wey like money. Finish.,female,,59524227-dc52-407c-8cca-e9e8c5fb3018,19e80e8be399e4a8246e2f9eec6ed73ab0a6f7743ca502fe2477ec9fedccb49d
16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,male,,808f7007-6552-4efa-bd13-4b7c337b102b,967a44a76997eca67320938bc34bf69c415f3bd0da2a56b1495e63ce32e7e227
17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,male,,ba3edda7-8940-4ca4-97ba-826398d5909f,a272c110acebae48c9b71324dab669580f45f96e97745a008ef9f4e81e980aff
18,tiwa-london,tiwa london,"If she says she's in London and you see her, you're in London too.",female,,78da7aeb-8352-4e25-89ac-dc48b5984089,1be09d1503a1b25303a3c7b16a3c3cccf0ab3ed03598a0018738d1ac5fc9dfd3
19,tunde-yoruba-demon,tunde yoruba demon,"Tunde derives joy in breaking girls heart. It's a lifestyle.""",male,,53b46bd7-a537-402b-b249-0b4074a8faae,fe7f4276da8a9c323215290b2939e9e10e1764755b5e531180e23489ed0e439d
20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,male,,4adb6781-1614-424e-8f77-fe59ffca2209,75c22e6b96e24cbb963a00f61a2ffb2c81beb26ea84a099c74c47b74eabab2d5
21,abdul-the-vibe,abdul the vibe,abdul the life of the party and can never be caught unfresh,male,"hair:none,eyes: black,teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:strong  ",770f817a-9d9a-4772-9a91-e66dd9d03470,edb81b8a1c21c96a73dbca501307a562bd6756b25fa30f08c3445754d2994ba0
22,emeka-the -clown,emeka the clown,"emeka the funny man, always making silly jokes",male,"hair:none ,eyes: black, teeth:none, clothings: yellow and black ankara, accessories:cap, expression:straight, strength:funny",78810fa6-a7ef-4d83-bf57-caf49db4ee69,ca641fb2286562ba6246c154e4cd76ca96d5ae70fefe86c1c288ea9f89be3d76
23,salam-the-odogwu,salam the odogwu,salam is a big time textile marketer always sourcing for quality materials,male,"hair:none, eyes:brown, teeth:none, clothings:wine and yellow, accessories:yayada cap, expression:happy, strength:rich",f2957ded-022c-4b07-92c6-b345d4816a67,7ea48492779fad2140691558ac3a4c9fd38f28d92812e6bd064bda2bae4690ab
24,charles-the-exporter,charles the exporter,charles a business man an importer and exporter never to be caught idle,male,"hair:none,eyes: grey, teeth:none clothings:orange and blue, accessories:okpu ozo, expression:happy, strength:empathetic ",09395e76-19ed-4852-8748-795ee7496a8e,0e6fb15047614f7310ffcc516b8b13f1002bf481717b221f60370e5d3444f5f3
25,wole-the-pimp,wole the pimp,wole knows all the babes in town and is always pimping them out,male,"hair:none, eyes:black, teeth:none, clothings:yellow dashiki, accessories:yori yori, expression:happy, strength:strong",4d94d4f7-9b69-4e43-9db1-1fe83df92857,43af00251ee6e8654349b61325290fa94e5af02acb888e26e67b90df8fa68b84
26,saro-the-baller,saro the baller,saro is a baller and is always ready to turnup,male,"hair:none, eyes: blue, teeth:none, clothings:black and yellow dashiki, accessories:none, expression:angry, strength:strong",d35a7514-8996-42fb-a5f2-5a603ec679c5,4b1ca2c0e34e945c8333b3f64ada2cd108249f81525da2a58f63f9e856d4b07d
27,ade-omo-yoruba,ade omo yoruba,ade a yourba man takes pride in the yourba tribe,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",92984fa0-310b-4377-8a10-15965d044383,316ff575e2864dd929b057db4d69eb00532e9be7b0a791d71a75cc25c29e680f
28,shola-cool-kid, shola cool kid,shola prefers to be alone because he hates stress,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",3ac5c186-bc14-4eb6-8567-cc818465a64f,e63147ac9e99c12d9c33db9a446a1e418b63667acffff1d1925e032ee7a19a34
29,charlie-the-smoker,charlie the smoker,charlie uses smoking as a coping mechanism,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",71a0aa22-d111-43b7-8484-43d87310bc42,6f9925a75b181a1b6530b3987f730bba4af45a8ffb4f0dd273968214d092ca11
30,femi-the-badguy,femi the badguy,femi is the biggest guy in lagos and he has served plenty babes breakfast,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",e493e3fb-a8a0-455a-854f-0f6474bbc69f,1947fafaf131ce7df888809c020aa4570d3352bb38a8349dd4e8a712c31cd4fe
31,sinzu-money,sinzu money,sinzu loves spending money on flashy things,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",942f8347-9932-4331-bd15-d0f3a048b54f,ceacf922fc63daa73798b3a36c5259ada952f645539fbbb9f628f614d9e7e2d2
32,obinna-the-palmwine tapper,obinna the palmwine tapper,obinna taps palmwine for a living,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",0f1af056-2548-4407-bed4-abc11deae05d,227f7df1be32cea6e94097690e4d5a366db9f42186f90132f24a836e96b61daf
33,aminu-maikudi,aminu maikudi,aminu is a wealthy man from a family with generational wealth. His exquisite taste shows it,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",0129e7a5-e3d0-4675-92d0-1a1e55d11612,8c7392c504d2a91436e065625ed0e10ff41d39e0ea2c8da3124a0b9da087393c
34,sabinus-the-town crier,sabinus the town crier,sabinus delivers messages to his town people,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",01d4ce96-818e-44b1-8813-68a7d34b35ba,5e170db4efaa213bdfb352368e08884b3a6f3e33a05f84f5881a8a6aed9c44c2
35,adisa-ibadan,adisa ibadan,"adisa the greatest man in the whole town of ibadan, is authority can never be questioned",male,"hair: none, eyes: black, teeth: none, clothings: kente accessories:abeti-aja cap, expression: mischievous, strength: independent, weakness: bossy",3a925f27-35f6-4dbf-9960-c6527fae5f3e,648a706bc328b0a664f7f601277a896ee2b7f776e0aac5a85bc491f8fe831bb9
36,linda-the-navigator,linda the navigator,linda knows how to make a way for herself and people around her,female,"hair: blonde, eyes: none, teeth: none, clothings:multicolored, accessories: glasses, expression: confused, strength: creative, weakness: insecure",71f335a6-5a4f-4410-9cea-179336f0e498,2e846f70c7918a9c2f967c4845d07f3fb8ecd94c556fc6ff04879281da912466
37,kemi-the-iron lady,kemi the iron lady,kemi the strongest woman known to the town of  igbede people,female,"hair: ginger, eyes: none, teeth: none, clothings: ankara, accessories:glasses and a pipe, expression: cool, strength: disciplined, weakness: perfectionist ",35b11a31-5b92-49f4-8fb1-30f255d22054,2b83aa75d40e59362aed0ddd24861f1b1e4a8bde082b8303374ed428e48b69c3
38,mercy-the-sassy lady,mercy the sassy lady,mercy only care about spending her father's money and treats people like trash,female,"hair: brown, eyes: none, teeth:none, clothings: ankara, accessories: glasses, expression: sassy, strenght: creative, weakness: sensitive",7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,d94858f4be4f1573bbb0adee66ccd482c408f4e50412c70c8810c7058bda9e4a
39,sandra-money,sandra money,sandra likes getting and spending money,female,"hair: brown, eyes: none, teeth:none, clothings:yellow and black, accessories: glasses, expression: confused, strength: brave, weakness: overthinker",1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,99e73da67b2307094da677a56c71d243877f4d8e75e5d46925bdb9f064c12f51
40,bimpe-the-fashionista,bimpe the fashionista,bimpe loves wearing trendy clothes and looking gorgeous,female,"hair: blonde, eyes: none, teeth:gap teeth, clothings: black cold shoulder shirt, accessories: glasses, expression: shocked, strength: intelligent, weakness: procrastination",92b548b7-998b-46b6-8198-80d407209483,547c36ca49fc166969a60b0c4a1e91ca95be982d122ce5adf0cee946af479461
41,kim-rich-aunty,kim rich aunty,she loves spoiling her nieces and nephew,Female,"hair:brown, eyes: green,teethstrength:hardworker,weakness:men,clothing :black and white,accessories:chain,expression:smilling",3344a73c-f15e-4afd-a1b2-3199e27eb08f,ea1791331f83a71b7a0a501aef564b85dbb3b5be515e273e6ac2f7f2e2e0ec6f
42,barbra-vampire-bc,barbra vampire bc,she loves drinking the blood of her victims,Female,"hair:maroon,strength:empathetic,weakness:sleep,clothing :polka dots,accessories:earings,expression:sad",4f31fd99-4918-42a9-a112-fa60ef36d5c6,6e88859ea3eac4ccfb15716805ff19e6bd760f10933cbc6f5350fd6ff2029f20
43,jean-art-dolger,jean art dolger,loves collecting art for charity ,Female,"hair:maroon, eyes: none: teeth:none:clothing:red,strength:strong,weakness:spiders",5e1105d9-e485-462d-a5bf-1eb931976b13,8ceeb80ac79aafb93ca0d11a5e227d6d3bd37d523e831d9aa87df78f03b6481f
44,flora-burger- eater,flora burger eater,she loves eating burgers,Female,"hair: red wig,strength:brave,weakness:coackroaches",054dffd1-cdff-417b-b6c2-a679dabd087b,52f97db1a90e251b35b0e965a4927ccd8612dc5cb440bc29ab14ef2dad033372
46,pinky-monky-ponk,pinky monky ponk,she love to dance the honky tonk,Female,"hair: black,strength:strong,weakness:cars",bd6a4b38-543e-40fa-9153-f7e1a947ebb1,a1533f2b9ec5f0cb45d1aa6d88c00539cd0971cddf128976fc6191d0c23c5739
47,wanjiru-hippie-glitter,wanjiru hippie glitter,a hippie that loves her glitters,Female,"hair: burgury updo,strength:strong,weakness:alcohol",683f0d27-3cb4-4948-b1b5-09f10bee575a,7e6664b914bd95065d4880de1fee5b281837d514b70f4a1371efce718bc536a3
48,njoki-binary-coder,njoki binary coder,she codes with the best and tops the set,Female,"hair:tight cornrows,strength:good listener,weakness:water",9b59bdb4-0c6c-4107-9d72-6d38d308edb4,d344670a875c75aca30898681f22ca7e21081a964e26d1cc2fc05476a7e13c8f
49,wangu-calaba-hustler,wangu calaba hustler,she's a mean hustler so be careful,Female,"hair:ginger red,strength:tender,weakness:being agreeable",67f7da93-3925-4def-b660-58f558c14a19,8c93b779ba5d74c451b381bdfbb7d6491293451e5f41f3a952d8f6a83fdb58c8
50,lulu-dey-kpako,lulu dey kpako,she's as skinny as she is beautiful,Female,"hair:black,strength:brave,weakness:junk food",23b6c38f-ab84-4565-bfe9-d9eb019c9f29,3183bc31e778da987c61be3de482f4673275c144b491d1e4535ca430afcba54b
51,kiki-cala-flier,kiki cala flier,she flies first class and gets the best deals,Female,"hair:white,strength:strong,weakness:spiders",d24aefff-c9fc-4ea9-a7cf-1b741076c822,9f74ef7e7878bce0d14db80ecbf0cfad635e01bdc17bdbe8ec5544a6fb5ae787
52,purity-nft -investor,purity nft investor,she is an angel investor looking for the next big thing,Female,"hair:pink braids,strength:strong,weakness:gossip",ee86ef77-4793-411a-88d3-ea54d84f6b24,5bf7386629551eea93617bb6add7b283b8fb22c34ffb31aaaf97fd1083cfdecf
53,june-binary-monk,june binary monk,she has a twin thats from Tibet ,Female,"hair:maroon,strength:goal oriented,weakness:spicy food",102c4cdb-f812-44fd-bf47-5065284c6075,78d97965d0292fed018566f4049cdd976ee5b8b400f941ce3d99eb73c27365d9
54,aisha-crows-damsel,aisha crows damsel,she is always a damsel in distress,Female,"hair:brown,strength:protective,weakness:clusterphobic",c4071af3-b49e-4ad6-898b-7828f90465fb,26c847e9b2faafed566a8d336458e60ea056bd4f2f834de0b7a63922dd3b204c
55,bobo-crypto-lovely,bobo crypto lovely,she is a crpto guru you can trust all through,Female,"hair:bald,strength:kindness,weakness:workerholic",427ea0f5-30a3-4d70-a5bd-a6106409b83c,9452a3c7c00763a7ed352799506a6ecafdaebd115217ce403691e9f51bdc34e2
56,nell-light -embrace,nell light embrace,she is an empath; ready with a kind word or hug,Female,"hair:yellow cornrows,strength:supportive,weakness:controlling",9dfe30b4-c71a-471c-8091-f5c4a238eed8,730172d90bd7cdee6c123ea0d61e303e44bb4f15e47467d31faef0785f873793
57,rachel-mood-silent,rachel mood silent,"introvert  to the core, a mysterious lady",Female,"hair:maroon,strength:strong,weakness:height",11450acd-f0d7-406f-bc18-bdb680404845,e3a85e1172dfcf754b1d3937de8fcd72972b07b1146982e64d68531da093fe53
58,nana-reflector-agent,nana reflector agent,she loves her chrome fashion stye,Female,"hair:blonde ties with a bow,strength: giving,weakness:money",63bda633-bfca-4b28-823f-7772936b4103,4a1bc713f8fd2e05adfb6325d49203d139cb3fd703648113f1c6ee12195af04a
59,bree-busy-gossip,bree busy gossip,"never wisper your secrets to her, except you want the world to know",Female,"hair:black,strength:level headed,weakness:shy around new people",4f5898d9-fc99-4053-a56c-b2ec1ef41347,ac110230272188dbeb17e700c9cb395d5b697e0dbb605235cff93f8219722703
60,jude-shadow-fighter,jude shadow fighter,"a ninja warrior, the last samurai standing",Female,"hair:maroon,strength:strong,weakness:spiders",a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,693ea69b96b7122097393c1e29b92975891abec5ca9d8e5bd5295c842587e413
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
61,toy-soldier,toy soldier,a man stronger than an army,male,"hair: bald, eyes: closed, teeth: none, clothing: overall, accessories: nose mask, expression: happy, strengths: powerful, weakness: sentimental",fc8ea3ac-59d1-11ed-9b6a-0242ac120002,69b6e844b927e1df5c2816305771cfff1329b4f133f872db48a4d3896025aaa0
62,pipey-rivers,pipey rivers,a man who loves the water so much and fixes its path,male,"hair:bald, eyes: opened, teeth:none, clothing: overall, accessories: nose mask, strengths: calculative, weakness: public speaking",58f69cae-59d1-11ed-9b6a-0242ac120002,b72d4babef602d88a8d6487a8b5c981a6fffb21800271659a12b91ee96f030c8
63,phiri-of-zambia,phiri of zambia,an african woman with strength and beauty,female,"hair: two purple bun, eyes:nose, teeth: none, clothing: adire, accessories: sunglasses, expression: jiggy, strengths: free spirit, weakness: blind ",24b537fa-59d3-11ed-9b6a-0242ac120002,eadc1fa196ae3c389b896ce0d0d6f721b4a9120bbe2872fb10c35d8c4117efa2
64,patrick-of-bikinibottom,patrick of bikinibottom,a white man who loves the African culture and associates with their dressing,male,"hair: bald, eyes: opened, teeth: none, clothing: kente, accessories: nose mask, expression: confused, strengths: adaptation, weakness: fluency",064c7b84-59d3-11ed-9b6a-0242ac120002,85c7ee0c543d1d3318816679ab93e8b57cad8884c79933a293c8d5e66324cc14
65,nobuhle-of-zulu,nobuhle of zulu,a woman well endowed with beauty,female,"hair: brown bun, eyes: none, teeth: none, clothing: iqoyi, accessories: sunglasses, expression: astonished, strengths: cool headed, weakness: pressure",1ee5b1ce-59d3-11ed-9b6a-0242ac120002,ee8577b686d29cf238e4150e0f1f43d258d5aab6a24891bc0bc2319049cde49c
66,nkosazana-of-xhosa,nkosazana of xhosa,an african princess always proud of her culture,female,"hair: ginger afro, eyes:none, teeth: gap teeth, clothing:umbaco, accessories: sunglasses, expression: fufilled, strengths: confidence, weakness: endurance",2f1a1724-59d3-11ed-9b6a-0242ac120002,545240bc4d21836d5cd8b2b67b96e124c9602d7cfaad5a7a512d49b88fb6d05a
67,mandla-of-zulu,mandla of zulu,a simple and an introvert who keeps to himself,male,"hair: bald, eyes: opened, teeth: none, clothing: eshowe, accessories: nose mask, expression: irritated, strength: strong willed, weakness: relationship",d04553b2-59d7-11ed-9b6a-0242ac120002,c97defddefd2d1a4dd7b29689aee2bf1d628d4fe2844d2c072e47389082da091
68,john-doe,john doe,a principled guy who is conscious of his health and ensures protection from infection,male,"hair: bald, eyes: opened, teeth: none, clothing: ankara, accessories: nose mask, expressions: cold strength: cleaniness, weakness: perfectionist",5d19795e-59d2-11ed-9b6a-0242ac120002,b870b57ce29a7d3b48379f6182ef73dcf96f18e0a536941f3f6168ac7f8b4353
69,ghost-of-power,ghost of power,a woman stronger than ten men combined,female,"hair: black tied with scalf, eyes: none, teeth: none, clothing: iqoyi, accessories: sunglasses and pipe, espression: ruthless, strength: badass weakness: cancer",29c764ca-59d3-11ed-9b6a-0242ac120002,756673eb56f7fdd48c0330811afbd7db6c1f8e2f3361215c2f5ce4c9a5c24f1e
70,freida,freida,a man who is always peaceful,male,"hair: bald, eyes: closed, teeth: none, clothing: overall, accessories: nose mask, expression: calm, strength: peaceful weakness: anger",ee671c4a-59d2-11ed-9b6a-0242ac120002,230f69349934fbff731b269d15174ddb7fd7cff2ac5e9805a466f5e7ed36361c
71,flamboyant-tree,flamboyant tree,beautiful african woman,female,"hair: one bun dark brown, eyes: none, teeth: none, clothing: kente, accessories: sunglasses, expression: happy, strength: beauty, weakness: lover girl",380e4990-59d3-11ed-9b6a-0242ac120002,b7a562b250af86e1ed42ce32eadfce499ab00c8eddae9836a384eafecdbb6292
72,david-of-accra,david of accra,a combatant who fights and defends his people,male,"hair: bald, eyes: opened, teeth: none, clothing: kente, accessories: nose mask, expression: angry, strength: super powerful, weakness: sleeping",1c1ef1b4-59d1-11ed-9b6a-0242ac120002,be259701f0402c401bc1f7cbc3ed33d659d7e1784100a5707234ac1457a8d84f
73,cally-lily,cally lily,a man who is a breath of fresh air,male,"hair: male, eyes: opened, teeth: none, clothing: overall, accessories: nose mask, expression: confused, strength: calm weakness: sun",82bba87c-59d1-11ed-9b6a-0242ac120002,90aec96f289728f968415cc38bf01714090a59b90f37f8e6b4cbeb0b3b27ff9f
74,bubune-of-accra,bubune of accra,"a man with honor, always conscious of his health",male,"hair: bald, eyes: closed, teeth: none, clothing: kente, accessories: nose mask, expression: happy,  strength: clean weakness: foodie",faa4b530-59d2-11ed-9b6a-0242ac120002,a6f45629d2b749f62a566a6ffbb99e38e120c543e0b8231932ffc45ef02fab25
75,bediako-of-accra,bediako of accra,a strong man always ready to fight for what is right,male,"hair: bald, eyes: opened, teeth: none, clothing: balck with kente, accessories: nose mask, expression: suspicious,  strength: activist, weakness: irrational",fb6e8222-59d0-11ed-9b6a-0242ac120002,3c803616c6c431aba0f6037f7af86ab65da3cab3ab9125e63871bf4c24b42ff0
76,avatar-aang,avatar aang,a man who is ready to save the world,male,"hair: bald, strength: mind games, weakness: insomia",169f93a0-59d2-11ed-9b6a-0242ac120002,817da75468bed7f4cbb8c2b0c0e5cb1294aa9103e2be4572f85f3929f0a868c9
77,argus-greek,argus greek,a man who you will always find on the look out ,male,"hair: bald, strength: strong , weakness: lateness",e7f26b26-59d2-11ed-9b6a-0242ac120002,b3709015babe5beb3b9dfde92411fce433ae9a83c1a14960e8a98c3df20b01b4
78,amahle-of-zulu,amahle of zulu,"A traditional man, feeling fulfilled",male,"hair: bald, strength: conversationist, weakness: traditionalist",169f93a0-59d2-11ed-9b6a-0242ac120002,dd012b5946ef6d7f329d33b339a1356c50bde45b2f728437d3c96a6b40201b9f
79,agnar-ole,agnar ole,a man who feels like an outcast and always has a battle with his mind,male,"hair: bald, strength: strong willed, weakness: crying",f3f11fd0-59d2-11ed-9b6a-0242ac120002,ff0fda357fa7fd691c5a3af42d02432539f77cca5ddb001345ac914c1dec806b
80,adom-kulu,adom kulu,"a Ghanaian model, proud of his culture",male,"hair: bald, strength: height,  weakness: pride",00f6589e-59d3-11ed-9b6a-0242ac120002,370cbe0efa8bbefed0b93d181a4321bf904611fde099888968d73bf0ab2e942d
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
81,segun-baller,segun baller,a man who loves to party hard,,"Hair: Black Punk Hair, Eyes: Black Colour, Teeth: None, Clothing: Black shirt with white round neck and Ankara Jacket, Accessories: Green glasses with black frame, Expression: Cool , Strength: Jovial Weakness: Non-chalant. Extras: Has a beard and Tobacco pipe in mouth. ",58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,07c3cf21b64258c65945eb0d415f597a02d55e40eaa4664e2cbefe3190186d16
82,bolanle-pepper-dem,bolanle pepper dem,a money spender,,"Hair: Bald, Eyes: Black Colour, Teeth: None, Clothing: Ankara shirt with a white round neck and black jacket, Accessories: Green glasses with a black frame, Expression: Proud, Strength: Always has resources at disposal, Weakness: A Spendthrift, Extras:Beard plus Tobacco pipe in mouth.",46966104-775b-4443-90bb-b35afd121653,6bc2a6856a936d17eeed808a47665c4c470e07c7b96e7668ec27d7ade2ac6ac6
83,tayo-tailor,tayo tailor,"a professional fashion designer, in quote",,"Hair: Black Hair tied in a bun, Eyes: Black Colour, Teeth: None, Clothing: Orange Shirt with blue Vest, Accessories: Green Glasses with black frame, Expression: Inquisitive Strength: Creativity Weakness: Opinionated, Extras: Beard and Tobacco Pipe in mouth.  ",70828783-ac38-48cf-b966-cfebc92ebd86,b395ff2653858d435d594873d735a40ae8368da51e33e713d1a04913a6717887
84,ajasco-comedian,ajasco comedian,he thinks he's funny but he's not,,"Hair: Black lowcut, Eyes: Black, Teeth: None, Clothing: Green Shirt with blue Vest, Accessories: Green eyeglasses with black frame, Expression: Bold, Strength: Optimistic Weakness: Unobservant, Extras: Tobacco Pipe in mouth and has a beard.",8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,68011b67240b029f3b3d0c5e4f3748b148d2d7b0e0eeb17b71c8a3ca60525173
85,tobi-babyboy,tobi babyboy,he's currently in his babyboy era,,"Hair: Black hair, Eyes: Black Colour, Teeth: None, Clothing: White Shirt with blue Vest, Accessories: Green Eyeglasses with black frame, Expression: Friendly, Strength: Outgoing, Weakness: Lacks boundaries. Extras: Tobacco Pipe in mouth and beard.",3da592d4-5dec-4bc5-8412-f1b2a0269f95,bd8991166fdd14554da3c990d30c2b6c002bb4aaab04b23cb93224ac56c6e473
86,esther-sassy,esther sassy,her motto is everybody must collect,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,0642a25a-966d-446f-b021-a6d18e7fa0c5,3e5a6a45a71370e1bceb7d544523bb1f294b9425ade2ba4a023fbb7495f9e972
87,ozo-fineboi,ozo fineboi,he's currently in his babyboy era,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,fdb0a5b6-7367-48bb-bd6b-720ec8c15226,1772b7d85dfa35c4abaec059f09927b1f9a54bfeb6bb493e44adcd4b7150833e
88,ade-party-girl,ade party girl,the life of every party,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,7e3db30c-9faf-430d-ab48-b854fe0456b9,bb51cb6587a073ea3fb3e88e6e7dc02fc640966f1f9517a5e0b21c7325bbc1b3
89,john-casco,john casco,silent killer,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,2eff88ef-5bc2-4779-917a-533e952e2953,5ca33c1c1489fa44d595b70a86260d5079bfda9be23b655c18eed5241f4a603f
90,agha-uwa,agha uwa,"senior man, may back flips",,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,8478a002-1eba-4a05-8b98-7170c6e39254,8224b63443c828b37fed52272c4adf80a24080b9abc49113a3ab7f0f40375bc5
91,udeme-great,udeme great,an alcoholic,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,d1476409-6f8b-4be9-8c93-24d9123749c5,a081e411f18d4f8ea51d9990dadd4f328414d4f8bf6f8b107be0ab67e56b5665
